algo,start,outcome,consent_before,consent_after,consent_delta,consent_path_before,consent_path_after,total_before,total_after,total_delta,total_path_before,total_path_after
Remove First Edge,BannerToast,Out_Personalized,,,,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,,3,,,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,
Remove First Edge,BannerToast,Out_AllContent,,,,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,,3,,,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,
Remove First Edge,BannerToast,ConsentSaved,1,,,BannerToast → AcceptAll → ConsentSaved,,2,,,BannerToast → AcceptAll → ConsentSaved,
Remove First Edge,BannerToast,OutcomeTelemetry,,,,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,,3,,,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Home,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Home,Out_SecuredLogin,,,,Home → ContactUs → Out_SecuredLogin,Home → ContactUs → Out_SecuredLogin,2,2,0,Home → ContactUs → Out_SecuredLogin,Home → ContactUs → Out_SecuredLogin
Remove First Edge,Home,Out_AllMedia,,,,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,,3,,,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Home,Out_Payments,,,,Home → Membership → Out_Payments,Home → Membership → Out_Payments,2,2,0,Home → Membership → Out_Payments,Home → Membership → Out_Payments
Remove First Edge,Home,Out_Personalized,,,,Home → Out_Personalized,Home → Out_Personalized,1,1,0,Home → Out_Personalized,Home → Out_Personalized
Remove First Edge,Home,Out_AllContent,,,,Home → PersonalSvc → Out_AllContent,,2,,,Home → PersonalSvc → Out_AllContent,
Remove First Edge,Home,ConsentSaved,3,,,Home → Manage → Modal → Save → ConsentSaved,,4,,,Home → Manage → Modal → Save → ConsentSaved,
Remove First Edge,Home,OutcomeTelemetry,,,,Home → AnalyticsSvc → OutcomeTelemetry,,2,,,Home → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Discover,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Discover,Out_SecuredLogin,,,,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,5,,,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,Discover,Out_AllMedia,,,,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,5,,,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Discover,Out_Payments,,,,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,5,,,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,Discover,Out_Personalized,,,,Discover → Out_Personalized,Discover → Out_Personalized,1,1,0,Discover → Out_Personalized,Discover → Out_Personalized
Remove First Edge,Discover,Out_AllContent,,,,Discover → PersonalSvc → Out_AllContent,,2,,,Discover → PersonalSvc → Out_AllContent,
Remove First Edge,Discover,ConsentSaved,3,,,Discover → Manage → Modal → Save → ConsentSaved,,4,,,Discover → Manage → Modal → Save → ConsentSaved,
Remove First Edge,Discover,OutcomeTelemetry,,,,Discover → AnalyticsSvc → OutcomeTelemetry,,2,,,Discover → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,SearchBooks,Out_BasicAccess,,,,,,,,,,
Remove First Edge,SearchBooks,Out_SecuredLogin,,,,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,5,,,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,SearchBooks,Out_AllMedia,,,,SearchBooks → ExtMediaSvc → Out_AllMedia,,2,,,SearchBooks → ExtMediaSvc → Out_AllMedia,
Remove First Edge,SearchBooks,Out_Payments,,,,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,5,,,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,SearchBooks,Out_Personalized,,,,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,5,,,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,SearchBooks,Out_AllContent,,,,SearchBooks → ExtMediaSvc → Out_AllContent,,2,,,SearchBooks → ExtMediaSvc → Out_AllContent,
Remove First Edge,SearchBooks,ConsentSaved,3,,,SearchBooks → Manage → Modal → Save → ConsentSaved,,4,,,SearchBooks → Manage → Modal → Save → ConsentSaved,
Remove First Edge,SearchBooks,OutcomeTelemetry,,,,SearchBooks → AnalyticsSvc → OutcomeTelemetry,,2,,,SearchBooks → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Audiobooks,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Audiobooks,Out_SecuredLogin,,,,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,5,,,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,Audiobooks,Out_AllMedia,,,,Audiobooks → ExtMediaSvc → Out_AllMedia,,2,,,Audiobooks → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Audiobooks,Out_Payments,,,,Audiobooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,5,,,Audiobooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,Audiobooks,Out_Personalized,,,,Audiobooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,5,,,Audiobooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,Audiobooks,Out_AllContent,,,,Audiobooks → ExtMediaSvc → Out_AllContent,,2,,,Audiobooks → ExtMediaSvc → Out_AllContent,
Remove First Edge,Audiobooks,ConsentSaved,3,,,Audiobooks → Manage → Modal → Save → ConsentSaved,,4,,,Audiobooks → Manage → Modal → Save → ConsentSaved,
Remove First Edge,Audiobooks,OutcomeTelemetry,,,,Audiobooks → AnalyticsSvc → OutcomeTelemetry,,2,,,Audiobooks → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,DigitalMag,Out_BasicAccess,,,,,,,,,,
Remove First Edge,DigitalMag,Out_SecuredLogin,,,,DigitalMag → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,5,,,DigitalMag → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,DigitalMag,Out_AllMedia,,,,DigitalMag → ExtMediaSvc → Out_AllMedia,,2,,,DigitalMag → ExtMediaSvc → Out_AllMedia,
Remove First Edge,DigitalMag,Out_Payments,,,,DigitalMag → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,5,,,DigitalMag → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,DigitalMag,Out_Personalized,,,,DigitalMag → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,5,,,DigitalMag → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,DigitalMag,Out_AllContent,,,,DigitalMag → ExtMediaSvc → Out_AllContent,,2,,,DigitalMag → ExtMediaSvc → Out_AllContent,
Remove First Edge,DigitalMag,ConsentSaved,3,,,DigitalMag → Manage → Modal → Save → ConsentSaved,,4,,,DigitalMag → Manage → Modal → Save → ConsentSaved,
Remove First Edge,DigitalMag,OutcomeTelemetry,,,,DigitalMag → AnalyticsSvc → OutcomeTelemetry,,2,,,DigitalMag → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Membership,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Membership,Out_SecuredLogin,,,,Membership → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,5,,,Membership → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,Membership,Out_AllMedia,,,,Membership → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,5,,,Membership → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Membership,Out_Payments,,,,Membership → Out_Payments,Membership → Out_Payments,1,1,0,Membership → Out_Payments,Membership → Out_Payments
Remove First Edge,Membership,Out_Personalized,,,,Membership → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,5,,,Membership → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,Membership,Out_AllContent,,,,Membership → PaymentsSvc → Out_AllContent,,2,,,Membership → PaymentsSvc → Out_AllContent,
Remove First Edge,Membership,ConsentSaved,3,,,Membership → Manage → Modal → Save → ConsentSaved,,4,,,Membership → Manage → Modal → Save → ConsentSaved,
Remove First Edge,Membership,OutcomeTelemetry,,,,Membership → AnalyticsSvc → OutcomeTelemetry,,2,,,Membership → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,ContactUs,Out_BasicAccess,,,,,,,,,,
Remove First Edge,ContactUs,Out_SecuredLogin,,,,ContactUs → Out_SecuredLogin,ContactUs → Out_SecuredLogin,1,1,0,ContactUs → Out_SecuredLogin,ContactUs → Out_SecuredLogin
Remove First Edge,ContactUs,Out_AllMedia,,,,ContactUs → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,5,,,ContactUs → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,ContactUs,Out_Payments,,,,ContactUs → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,5,,,ContactUs → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,ContactUs,Out_Personalized,,,,ContactUs → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,5,,,ContactUs → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,ContactUs,Out_AllContent,,,,ContactUs → SupportSvc → Out_AllContent,,2,,,ContactUs → SupportSvc → Out_AllContent,
Remove First Edge,ContactUs,ConsentSaved,3,,,ContactUs → Manage → Modal → Save → ConsentSaved,,4,,,ContactUs → Manage → Modal → Save → ConsentSaved,
Remove First Edge,ContactUs,OutcomeTelemetry,,,,ContactUs → AnalyticsSvc → OutcomeTelemetry,,2,,,ContactUs → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Login,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Login,Out_SecuredLogin,,,,Login → Out_SecuredLogin,Login → Out_SecuredLogin,1,1,0,Login → Out_SecuredLogin,Login → Out_SecuredLogin
Remove First Edge,Login,Out_AllMedia,,,,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,5,,,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Login,Out_Payments,,,,Login → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,5,,,Login → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,Login,Out_Personalized,,,,Login → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,5,,,Login → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,Login,Out_AllContent,,,,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,,5,,,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,
Remove First Edge,Login,ConsentSaved,3,,,Login → Manage → Modal → Save → ConsentSaved,,4,,,Login → Manage → Modal → Save → ConsentSaved,
Remove First Edge,Login,OutcomeTelemetry,,,,Login → Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,,5,,,Login → Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Manage,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Manage,Out_SecuredLogin,,,,Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,4,,,Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,Manage,Out_AllMedia,,,,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,4,,,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Manage,Out_Payments,,,,Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,,4,,,Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,Manage,Out_Personalized,,,,Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,,4,,,Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,Manage,Out_AllContent,,,,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,,4,,,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,
Remove First Edge,Manage,ConsentSaved,2,,,Manage → Modal → Save → ConsentSaved,,3,,,Manage → Modal → Save → ConsentSaved,
Remove First Edge,Manage,OutcomeTelemetry,,,,Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,,4,,,Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Modal,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Modal,Out_SecuredLogin,,,,Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,3,,,Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,Modal,Out_AllMedia,,,,Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,3,,,Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Modal,Out_Payments,,,,Modal → AccPayments → PaymentsSvc → Out_Payments,,3,,,Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,Modal,Out_Personalized,,,,Modal → AccPersonal → PersonalSvc → Out_Personalized,,3,,,Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,Modal,Out_AllContent,,,,Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,,3,,,Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,
Remove First Edge,Modal,ConsentSaved,1,,,Modal → Save → ConsentSaved,,2,,,Modal → Save → ConsentSaved,
Remove First Edge,Modal,OutcomeTelemetry,,,,Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,,3,,,Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,LetMeChoose,Out_BasicAccess,,,,,,,,,,
Remove First Edge,LetMeChoose,Out_SecuredLogin,,,,LetMeChoose → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,,4,,,LetMeChoose → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,
Remove First Edge,LetMeChoose,Out_AllMedia,,,,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,,4,,,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,
Remove First Edge,LetMeChoose,Out_Payments,,,,LetMeChoose → Modal → AccPayments → PaymentsSvc → Out_Payments,,4,,,LetMeChoose → Modal → AccPayments → PaymentsSvc → Out_Payments,
Remove First Edge,LetMeChoose,Out_Personalized,,,,LetMeChoose → Modal → AccPersonal → PersonalSvc → Out_Personalized,,4,,,LetMeChoose → Modal → AccPersonal → PersonalSvc → Out_Personalized,
Remove First Edge,LetMeChoose,Out_AllContent,,,,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,,4,,,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,
Remove First Edge,LetMeChoose,ConsentSaved,2,,,LetMeChoose → Modal → Save → ConsentSaved,,3,,,LetMeChoose → Modal → Save → ConsentSaved,
Remove First Edge,LetMeChoose,OutcomeTelemetry,,,,LetMeChoose → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,,4,,,LetMeChoose → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,AcceptAll,Out_BasicAccess,,,,,,,,,,
Remove First Edge,AcceptAll,Out_SecuredLogin,,,,AcceptAll → SecuritySvc → Out_SecuredLogin,,2,,,AcceptAll → SecuritySvc → Out_SecuredLogin,
Remove First Edge,AcceptAll,Out_AllMedia,,,,AcceptAll → ExtMediaSvc → Out_AllMedia,,2,,,AcceptAll → ExtMediaSvc → Out_AllMedia,
Remove First Edge,AcceptAll,Out_Payments,,,,AcceptAll → PaymentsSvc → Out_Payments,,2,,,AcceptAll → PaymentsSvc → Out_Payments,
Remove First Edge,AcceptAll,Out_Personalized,,,,AcceptAll → PersonalSvc → Out_Personalized,,2,,,AcceptAll → PersonalSvc → Out_Personalized,
Remove First Edge,AcceptAll,Out_AllContent,,,,AcceptAll → ExtMediaSvc → Out_AllContent,,2,,,AcceptAll → ExtMediaSvc → Out_AllContent,
Remove First Edge,AcceptAll,ConsentSaved,0,,,AcceptAll → ConsentSaved,,1,,,AcceptAll → ConsentSaved,
Remove First Edge,AcceptAll,OutcomeTelemetry,,,,AcceptAll → AnalyticsSvc → OutcomeTelemetry,,2,,,AcceptAll → AnalyticsSvc → OutcomeTelemetry,
Remove First Edge,Save,Out_BasicAccess,,,,,,,,,,
Remove First Edge,Save,Out_SecuredLogin,,,,Save → SecuritySvc → Out_SecuredLogin,,2,,,Save → SecuritySvc → Out_SecuredLogin,
Remove First Edge,Save,Out_AllMedia,,,,Save → ExtMediaSvc → Out_AllMedia,,2,,,Save → ExtMediaSvc → Out_AllMedia,
Remove First Edge,Save,Out_Payments,,,,Save → PaymentsSvc → Out_Payments,,2,,,Save → PaymentsSvc → Out_Payments,
Remove First Edge,Save,Out_Personalized,,,,Save → PersonalSvc → Out_Personalized,,2,,,Save → PersonalSvc → Out_Personalized,
Remove First Edge,Save,Out_AllContent,,,,Save → ExtMediaSvc → Out_AllContent,,2,,,Save → ExtMediaSvc → Out_AllContent,
Remove First Edge,Save,ConsentSaved,0,,,Save → ConsentSaved,,1,,,Save → ConsentSaved,
Remove First Edge,Save,OutcomeTelemetry,,,,Save → AnalyticsSvc → OutcomeTelemetry,,2,,,Save → AnalyticsSvc → OutcomeTelemetry,
Remove Min-Cut,Entry,Out_BasicAccess,,,,,,,,,,
Remove Min-Cut,Entry,Out_SecuredLogin,,,,Entry → BannerToast → AcceptAll → SecuritySvc → Out_SecuredLogin,,4,,,Entry → BannerToast → AcceptAll → SecuritySvc → Out_SecuredLogin,
Remove Min-Cut,Entry,Out_AllMedia,,,,Entry → BannerToast → AcceptAll → ExtMediaSvc → Out_AllMedia,,4,,,Entry → BannerToast → AcceptAll → ExtMediaSvc → Out_AllMedia,
Remove Min-Cut,Entry,Out_Payments,,,,Entry → BannerToast → AcceptAll → PaymentsSvc → Out_Payments,,4,,,Entry → BannerToast → AcceptAll → PaymentsSvc → Out_Payments,
Remove Min-Cut,Entry,Out_Personalized,,,,Entry → BannerToast → AcceptAll → PersonalSvc → Out_Personalized,,4,,,Entry → BannerToast → AcceptAll → PersonalSvc → Out_Personalized,
Remove Min-Cut,Entry,Out_AllContent,,,,Entry → BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,,4,,,Entry → BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,
Remove Min-Cut,Entry,ConsentSaved,1,,,Entry → BannerToast → AcceptAll → ConsentSaved,,3,,,Entry → BannerToast → AcceptAll → ConsentSaved,
Remove Min-Cut,Entry,OutcomeTelemetry,,,,Entry → BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,,4,,,Entry → BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,
Remove Min-Cut,BannerToast,Out_BasicAccess,,,,,,,,,,
Remove Min-Cut,BannerToast,Out_SecuredLogin,,,,BannerToast → AcceptAll → SecuritySvc → Out_SecuredLogin,BannerToast → AcceptAll → SecuritySvc → Out_SecuredLogin,3,3,0,BannerToast → AcceptAll → SecuritySvc → Out_SecuredLogin,BannerToast → AcceptAll → SecuritySvc → Out_SecuredLogin
Remove Min-Cut,BannerToast,Out_AllMedia,,,,BannerToast → AcceptAll → ExtMediaSvc → Out_AllMedia,BannerToast → AcceptAll → ExtMediaSvc → Out_AllMedia,3,3,0,BannerToast → AcceptAll → ExtMediaSvc → Out_AllMedia,BannerToast → AcceptAll → ExtMediaSvc → Out_AllMedia
Remove Min-Cut,BannerToast,Out_Payments,,,,BannerToast → AcceptAll → PaymentsSvc → Out_Payments,BannerToast → AcceptAll → PaymentsSvc → Out_Payments,3,3,0,BannerToast → AcceptAll → PaymentsSvc → Out_Payments,BannerToast → AcceptAll → PaymentsSvc → Out_Payments
Remove Min-Cut,BannerToast,Out_Personalized,,,,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,3,3,0,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,BannerToast → AcceptAll → PersonalSvc → Out_Personalized
Remove Min-Cut,BannerToast,Out_AllContent,,,,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,3,3,0,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent
Remove Min-Cut,BannerToast,ConsentSaved,1,1,0,BannerToast → AcceptAll → ConsentSaved,BannerToast → AcceptAll → ConsentSaved,2,2,0,BannerToast → AcceptAll → ConsentSaved,BannerToast → AcceptAll → ConsentSaved
Remove Min-Cut,BannerToast,OutcomeTelemetry,,,,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,3,3,0,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry
Remove Min-Cut,Home,Out_BasicAccess,,,,,,,,,,
Remove Min-Cut,Home,Out_SecuredLogin,,,,Home → ContactUs → Out_SecuredLogin,Home → ContactUs → Out_SecuredLogin,2,2,0,Home → ContactUs → Out_SecuredLogin,Home → ContactUs → Out_SecuredLogin
Remove Min-Cut,Home,Out_AllMedia,,,,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,3,3,0,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,Home → SearchBooks → ExtMediaSvc → Out_AllMedia
Remove Min-Cut,Home,Out_Payments,,,,Home → Membership → Out_Payments,Home → Membership → Out_Payments,2,2,0,Home → Membership → Out_Payments,Home → Membership → Out_Payments
Remove Min-Cut,Home,Out_Personalized,,,,Home → Out_Personalized,Home → Out_Personalized,1,1,0,Home → Out_Personalized,Home → Out_Personalized
Remove Min-Cut,Home,Out_AllContent,,,,Home → PersonalSvc → Out_AllContent,Home → PersonalSvc → Out_AllContent,2,2,0,Home → PersonalSvc → Out_AllContent,Home → PersonalSvc → Out_AllContent
Remove Min-Cut,Home,ConsentSaved,3,,,Home → Manage → Modal → Save → ConsentSaved,,4,,,Home → Manage → Modal → Save → ConsentSaved,
Remove Min-Cut,Home,OutcomeTelemetry,,,,Home → AnalyticsSvc → OutcomeTelemetry,Home → AnalyticsSvc → OutcomeTelemetry,2,2,0,Home → AnalyticsSvc → OutcomeTelemetry,Home → AnalyticsSvc → OutcomeTelemetry
Remove Min-Cut,Discover,Out_BasicAccess,,,,,,,,,,
Remove Min-Cut,Discover,Out_SecuredLogin,,,,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Remove Min-Cut,Discover,Out_AllMedia,,,,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,5,5,0,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Remove Min-Cut,Discover,Out_Payments,,,,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Remove Min-Cut,Discover,Out_Personalized,,,,Discover → Out_Personalized,Discover → Out_Personalized,1,1,0,Discover → Out_Personalized,Discover → Out_Personalized
Remove Min-Cut,Discover,Out_AllContent,,,,Discover → PersonalSvc → Out_AllContent,Discover → PersonalSvc → Out_AllContent,2,2,0,Discover → PersonalSvc → Out_AllContent,Discover → PersonalSvc → Out_AllContent
Remove Min-Cut,Discover,ConsentSaved,3,,,Discover → Manage → Modal → Save → ConsentSaved,,4,,,Discover → Manage → Modal → Save → ConsentSaved,
Remove Min-Cut,Discover,OutcomeTelemetry,,,,Discover → AnalyticsSvc → OutcomeTelemetry,Discover → AnalyticsSvc → OutcomeTelemetry,2,2,0,Discover → AnalyticsSvc → OutcomeTelemetry,Discover → AnalyticsSvc → OutcomeTelemetry
Remove Min-Cut,SearchBooks,Out_BasicAccess,,,,,,,,,,
Remove Min-Cut,SearchBooks,Out_SecuredLogin,,,,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Remove Min-Cut,SearchBooks,Out_AllMedia,,,,SearchBooks → ExtMediaSvc → Out_AllMedia,SearchBooks → ExtMediaSvc → Out_AllMedia,2,2,0,SearchBooks → ExtMediaSvc → Out_AllMedia,SearchBooks → ExtMediaSvc → Out_AllMedia
Remove Min-Cut,SearchBooks,Out_Payments,,,,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Remove Min-Cut,SearchBooks,Out_Personalized,,,,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Remove Min-Cut,SearchBooks,Out_AllContent,,,,SearchBooks → ExtMediaSvc → Out_AllContent,SearchBooks → ExtMediaSvc → Out_AllContent,2,2,0,SearchBooks → ExtMediaSvc → Out_AllContent,SearchBooks → ExtMediaSvc → Out_AllContent
Remove Min-Cut,SearchBooks,ConsentSaved,3,,,SearchBooks → Manage → Modal → Save → ConsentSaved,,4,,,SearchBooks → Manage → Modal → Save → ConsentSaved,
Remove Min-Cut,SearchBooks,OutcomeTelemetry,,,,SearchBooks → AnalyticsSvc → OutcomeTelemetry,SearchBooks → AnalyticsSvc → OutcomeTelemetry,2,2,0,SearchBooks → AnalyticsSvc → OutcomeTelemetry,SearchBooks → AnalyticsSvc → OutcomeTelemetry
Remove Min-Cut,Audiobooks,Out_BasicAccess,,,,,,,,,,
Remove Min-Cut,Audiobooks,Out_SecuredLogin,,,,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
